id,source_id
29740,sjr_21100428409
29741,sjr_29152
29747,sjr_38062
29748,sjr_30050
29749,sjr_19900193571
29750,sjr_14500
29754,sjr_21100335701
29760,sjr_20877
29762,sjr_21100941750
29764,sjr_25522
29766,sjr_19700177555
29767,sjr_20051
29768,sjr_19900192137
29769,sjr_35510
29773,sjr_15391
29775,sjr_21100461914
29776,sjr_13902
29777,sjr_20626
29779,sjr_21100855908
29781,sjr_21100868271
29782,sjr_15110
29785,sjr_3300147809
29786,sjr_21764
29791,sjr_15577
29792,sjr_16072
29794,sjr_21100369734
29796,sjr_21275
29798,sjr_11300153406
29799,sjr_21524
29801,sjr_25538
29803,sjr_12775
29806,sjr_14946
29807,sjr_77191
29812,sjr_17806
29814,sjr_25473
29816,sjr_21101055108
29820,sjr_21754
29824,sjr_15095
29825,sjr_15000154802
29826,sjr_24039
29827,sjr_21100907125
29829,sjr_12067
29831,sjr_21100894555
29832,sjr_29607
29833,sjr_21100925772
29835,sjr_24245
29836,sjr_21100924839
29837,sjr_5300152707
29840,sjr_13268
29841,sjr_21100903415
29844,sjr_21100406884
29845,sjr_21100881252
29848,sjr_19842
29850,sjr_144804
29855,sjr_21101045748
29856,sjr_21100218533
29857,sjr_21100854140
29859,sjr_12391
29860,sjr_26727
29862,sjr_21100777183
29863,sjr_21100422918
29868,sjr_12711
29874,sjr_19700168304
29875,sjr_21100897027
29876,sjr_12600154733
29877,sjr_7000153204
29878,sjr_20813
29879,sjr_22915
29880,sjr_27062
29882,sjr_12844
29883,sjr_130037
29885,sjr_29820
29886,sjr_15499
29888,sjr_20107
29889,sjr_21100782247
29890,sjr_19783
29891,sjr_28684
29892,sjr_16714
29893,sjr_27592
29896,sjr_40981
29897,sjr_4700152497
29898,sjr_19700175163
29901,sjr_21100325079
29906,sjr_19700166902
29907,sjr_30441
29916,sjr_20385
29917,sjr_21100211738
29919,sjr_29659
29921,sjr_21354
29922,sjr_21100904463
29923,sjr_18605
29924,sjr_19830
29925,sjr_26493
29926,sjr_21100318415
29928,sjr_12705
29931,sjr_12000154405
29936,sjr_15061
29937,sjr_26112
29940,sjr_25733
29941,sjr_23308
29942,sjr_21594
29944,sjr_14150
29945,sjr_12058
29946,sjr_21101098750
29947,sjr_5000158308
29949,sjr_21100805354
29950,sjr_19700176802
29956,sjr_20640
29957,sjr_12005
29958,sjr_20388
29959,sjr_26396
29960,sjr_20740
29961,sjr_26380
29965,sjr_13070
29966,sjr_14841
