page_category,page_id,page_type,page_url,issue_id,issue_desc,issue_impact,issue_help,issue_url,violations,passes,total_checks,failure_rate
hubmap,hubmap10,dataset,https://portal.hubmapconsortium.org/browse/dataset/638799c2725a0c88ec7ee389cb98884f,th-has-data-cells,"Ensure that <th> elements and elements with role=columnheader/rowheader have data cells they describe",null,"Table headers in a data table must refer to data cells",https://dequeuniversity.com/rules/axe/4.8/th-has-data-cells?application=playwright,0,2,2,0
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,button-name,"Ensures buttons have discernible text",null,"Buttons must have discernible text",https://dequeuniversity.com/rules/axe/4.8/button-name?application=playwright,1,9,10,0.1
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,heading-order,"Ensures the order of headings is semantically correct",moderate,"Heading levels should only increase by one",https://dequeuniversity.com/rules/axe/4.8/heading-order?application=playwright,2,19,21,0.09523809523809523
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,html-has-lang,"Ensures every HTML document has a lang attribute",serious,"<html> element must have a lang attribute",https://dequeuniversity.com/rules/axe/4.8/html-has-lang?application=playwright,1,0,1,1
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,landmark-one-main,"Ensures the document has a main landmark",moderate,"Document should have one main landmark",https://dequeuniversity.com/rules/axe/4.8/landmark-one-main?application=playwright,1,0,1,1
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,region,"Ensures all page content is contained by landmarks",moderate,"All page content should be contained by landmarks",https://dequeuniversity.com/rules/axe/4.8/region?application=playwright,38,479,517,0.0735009671179884
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,scrollable-region-focusable,"Ensure elements that have scrollable content are accessible by keyboard",null,"Scrollable region must have keyboard access",https://dequeuniversity.com/rules/axe/4.8/scrollable-region-focusable?application=playwright,1,1,2,0.5
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,aria-allowed-attr,"Ensures an element's role supports its ARIA attributes",null,"Elements must only use supported ARIA attributes",https://dequeuniversity.com/rules/axe/4.8/aria-allowed-attr?application=playwright,0,15,15,0
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,aria-allowed-role,"Ensures role attribute has an appropriate value for the element",minor,"ARIA role should be appropriate for the element",https://dequeuniversity.com/rules/axe/4.8/aria-allowed-role?application=playwright,0,10,10,0
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,aria-conditional-attr,"Ensures ARIA attributes are used as described in the specification of the element's role",null,"ARIA attributes must be used as specified for the element's role",https://dequeuniversity.com/rules/axe/4.8/aria-conditional-attr?application=playwright,0,15,15,0
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,aria-deprecated-role,"Ensures elements do not use deprecated roles",null,"Deprecated ARIA roles must not be used",https://dequeuniversity.com/rules/axe/4.8/aria-deprecated-role?application=playwright,0,9,9,0
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,aria-hidden-body,"Ensures aria-hidden="true" is not present on the document body.",null,"aria-hidden="true" must not be present on the document body",https://dequeuniversity.com/rules/axe/4.8/aria-hidden-body?application=playwright,0,1,1,0
hubmap,hubmap11,donor,https://portal.hubmapconsortium.org/browse/donor/1628b6f7eb615862322d6274a6bc9fa0,aria-hidden-focus,"Ensures aria-hidden elements are not focusable nor contain focusable elements",null,"ARIA hidden element must not be focusable or contain focusable elements",https://dequeuniversity.com/rules/axe/4.8/aria-hidden-focus?application=playwright,0,41,41,0
