id,source_id,date_added
779,dc_422,11-29-2023
780,dc_1908,11-29-2023
781,dc_1579,11-29-2023
782,dc_1601,11-29-2023
783,dc_1312,11-29-2023
784,dc_159,11-29-2023
785,dc_3342,11-29-2023
786,dc_3347,11-29-2023
787,dc_1659,11-29-2023
788,dc_1788,11-29-2023
789,dc_131,11-29-2023
790,dc_242,11-29-2023
791,dc_1839,11-29-2023
792,dc_6915,11-29-2023
793,dc_1234,11-29-2023
794,dc_4935,11-29-2023
795,dc_8159,11-29-2023
796,dc_5371,11-29-2023
797,dc_6650,11-29-2023
798,dc_5033,11-29-2023
799,dc_320,11-29-2023
800,dc_7139,11-29-2023
801,dc_5646,11-29-2023
802,dc_4452,11-29-2023
803,dc_659,11-29-2023
804,dc_1294,11-29-2023
805,dc_690,11-29-2023
806,dc_1305,11-29-2023
807,dc_4155,11-29-2023
808,dc_5889,11-29-2023
809,dc_6941,11-29-2023
810,dc_4289,11-29-2023
811,dc_3087,11-29-2023
812,dc_1664,11-29-2023
813,dc_4958,11-29-2023
814,dc_3839,11-29-2023
815,dc_1135,11-29-2023
816,dc_6944,11-29-2023
817,dc_330,11-29-2023
818,dc_5264,11-29-2023
819,dc_5407,11-29-2023
820,dc_4756,11-29-2023
821,dc_5715,11-29-2023
822,dc_6462,11-29-2023
823,dc_762,11-29-2023
824,dc_6886,11-29-2023
825,dc_1291,11-29-2023
826,dc_599,11-29-2023
827,dc_1700,11-29-2023
828,dc_3407,11-29-2023
829,dc_485,11-29-2023
830,dc_6295,11-29-2023
831,dc_8071,11-29-2023
832,dc_6294,11-29-2023
833,dc_7265,11-29-2023
834,dc_7567,11-29-2023
835,dc_8210,11-29-2023
836,dc_7283,11-29-2023
837,dc_7338,11-29-2023
838,dc_6925,11-29-2023
839,dc_6246,11-29-2023
840,dc_6290,11-29-2023
841,dc_1674,11-29-2023
842,dc_1478,11-29-2023
843,dc_3802,11-29-2023
844,dc_7258,11-29-2023
845,dc_57,11-29-2023
846,dc_138,11-29-2023
847,dc_333,11-29-2023
848,dc_3865,11-29-2023
849,dc_1624,11-29-2023
850,dc_1870,11-29-2023
851,dc_1123,11-29-2023
852,dc_4761,11-29-2023
853,dc_472,11-29-2023
854,dc_6166,11-29-2023
855,dc_4602,11-29-2023
856,dc_5178,11-29-2023
857,dc_964,11-29-2023
858,dc_7252,11-29-2023
859,dc_3005,11-29-2023
860,dc_7499,11-29-2023
861,dc_7337,11-29-2023
862,dc_4479,11-29-2023
863,dc_565,11-29-2023
864,dc_5509,11-29-2023
865,dc_1640,11-29-2023
866,dc_7270,11-29-2023
867,dc_7558,11-29-2023
868,dc_5143,11-29-2023
869,dc_4652,11-29-2023
870,dc_527,11-29-2023
871,dc_1583,11-29-2023
872,dc_3849,11-29-2023
873,dc_1242,11-29-2023
874,dc_1774,11-29-2023
875,dc_41,11-29-2023
876,dc_6056,11-29-2023
877,dc_69,11-29-2023
878,dc_559,11-29-2023
879,dc_67,11-29-2023
880,dc_2044,11-29-2023
881,dc_1993,11-29-2023
882,dc_406,11-29-2023
883,dc_4252,11-29-2023
884,dc_1627,11-29-2023
885,dc_1433,11-29-2023
886,dc_6401,11-29-2023
887,dc_6383,11-29-2023
888,dc_4726,11-29-2023
889,dc_5614,11-29-2023
890,dc_6763,11-29-2023
891,dc_121,11-29-2023
892,dc_5101,11-29-2023
893,dc_4309,11-29-2023
894,dc_1255,11-29-2023
895,dc_6368,11-29-2023
896,dc_26,11-29-2023
897,dc_901,11-29-2023
898,dc_7275,11-29-2023
899,dc_3610,11-29-2023
900,dc_1356,11-29-2023
901,dc_1358,11-29-2023
902,dc_1359,11-29-2023
903,dc_3194,11-29-2023
904,dc_7832,11-29-2023
905,dc_7330,11-29-2023
906,dc_7077,11-29-2023
907,dc_6253,11-29-2023
908,dc_1662,11-29-2023
909,dc_321,11-29-2023
910,dc_4820,11-29-2023
911,dc_514,11-29-2023
912,dc_553,11-29-2023
913,dc_802,11-29-2023
914,dc_382,11-29-2023
915,dc_177,11-29-2023
916,dc_3187,11-29-2023
917,dc_608,11-29-2023
918,dc_6225,11-29-2023
919,dc_2045,11-29-2023
920,dc_4203,11-29-2023
921,dc_3072,11-29-2023
922,dc_3018,11-29-2023
923,dc_5573,11-29-2023
924,dc_3926,11-29-2023
925,dc_1195,11-29-2023
926,dc_6724,11-29-2023
927,dc_7504,11-29-2023
928,dc_7056,11-29-2023
929,dc_4981,11-29-2023
930,dc_2984,11-29-2023
931,dc_1007,11-29-2023
932,dc_1476,11-29-2023
933,dc_311,11-29-2023
934,dc_5612,11-29-2023
935,dc_3288,11-29-2023
936,dc_4388,11-29-2023
937,dc_98,11-29-2023
938,dc_1705,11-29-2023
939,dc_5940,11-29-2023
940,dc_5958,11-29-2023
941,dc_6927,11-29-2023
942,dc_4918,11-29-2023
943,dc_811,11-29-2023
944,dc_1634,11-29-2023
945,dc_7078,11-29-2023
946,dc_4585,11-29-2023
947,dc_1187,11-29-2023
948,dc_7614,11-29-2023
949,dc_7634,11-29-2023
950,dc_9028,11-29-2023
951,dc_4361,11-29-2023
